District,Ethnicity,Fin Sup By Fam Sup Pct,Fin Sup By Fin Aids Pct,Fin Sup By Job Pct,Fin Sup By Oth Pct,Fin Sup By Per Sav Pct,Fin Sup By Schl Prize Pct,Have Own Desk At Home,Have Own Room At Home,High Edu Lvl Father,High Edu Lvl Mother,Mth Household Income,Nbr Of Household Member,Norm Travel Time,Number of Records,Place Of Birth,Religion,Residency,Snap Dat,Survey Year,Type Of Fam House,Wh Stdt Key,Work Exp,Year Of Resd In Hk
Tsuen Wan,N/A,30,30,0,0,10,30,Yes,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115287,Part-time job experience only,Since birth
"North (inc. Sheung Shui, Fanling, etc)",N/A,15,0,0,0,0,85,Yes,No,University education,Post-secondary education,Not applicable,1,180 - 240 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115689,Full-time job experience for less than one year,3 to less than 7 years
Kwai Tsing,N/A,80,0,10,0,10,0,Yes,No,Primary education,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116172,Part-time job experience only,Since birth
Sha Tin,N/A,80,0,10,0,10,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,116503,Part-time job experience only,Since birth
Sai Kung (inc. Tseung Kwan O),N/A,80,0,20,0,0,0,Yes,Yes,Post-secondary education,Post-secondary education,"HK$60,000 - HK$69,999",3,Less than 60 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115342,Part-time job experience only,Since birth
Kwai Tsing,Chinese,0,0,50,0,0,50,No,Yes,University education,University education,"HK$70,000 - HK$79,999",4,120 - 179 minutes,1,Japan,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110729,Part-time job experience only,less than 3 years
"North (inc. Sheung Shui, Fanling, etc)",N/A,0,98,2,0,0,0,No,No,Primary education,Primary education,"HK$10,000 - HK$19,999",1,More than 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society sale flats (other than Home Ownership Scheme flats),110771,No experience at all,7 years or more
"North (inc. Sheung Shui, Fanling, etc)",Chinese,0,90,0,0,10,0,Yes,No,Primary education,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,120 - 179 minutes,1,Chinese Mainland,Traditional Chinese Religion,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,110323,Full-time job experience for more than one year,7 years or more
Kwun Tong,N/A,50,25,10,0,0,15,No,No,Primary education,Primary education,"HK$20,000 - HK$29,999",5,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115650,Part-time job experience only,Since birth
Kwai Tsing,N/A,70,8,15,0,7,0,Yes,Yes,Secondary education/ Matriculation,University education,"HK$20,000 - HK$29,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society sale flats (other than Home Ownership Scheme flats),116222,Full-time job experience for more than one year,Since birth
Wanchai,N/A,80,0,10,0,0,10,Yes,Yes,University education,Secondary education/ Matriculation,Not applicable,4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110752,Part-time job experience only,Since birth
Tsuen Wan,N/A,90,0,0,0,10,0,Yes,Yes,University education,University education,"HK$60,000 - HK$69,999",5,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115231,Part-time job experience only,Since birth
Islands (inc. Tung Chung),N/A,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$50,000 - HK$59,999",5,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),32811,No experience at all,Since birth
Sha Tin,Chinese,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",4,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),32820,No experience at all,Since birth
Tsuen Wan,N/A,85,5,5,0,0,5,No,Yes,Post-secondary education,Post-secondary education,"HK$40,000 - HK$49,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115251,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),N/A,0,80,10,0,10,0,Yes,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"Under HK$10,000",2,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,116369,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),N/A,100,0,0,0,0,0,Yes,Yes,University education,University education,Not applicable,3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),103543,No experience at all,Since birth
Kwun Tong,Chinese,40,30,15,0,0,15,Yes,Yes,Primary education,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115719,No experience at all,Since birth
Kwun Tong,N/A,30,0,70,0,0,0,Yes,Yes,Primary education,Primary education,"HK$30,000 - HK$39,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Others (e.g. staff quarters),110603,Part-time job experience only,Since birth
Wong Tai Sin,N/A,65,0,20,0,15,0,Yes,No,Primary education,Primary education,"HK$20,000 - HK$29,999",6,Less than 60 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,110897,Part-time job experience only,7 years or more
Eastern,N/A,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,University education,Not applicable,4,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Others (e.g. staff quarters),115356,Part-time job experience only,Since birth
Kowloon City,N/A,70,0,20,0,10,0,Yes,Yes,University education,University education,"HK$100,000 or above",4,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115822,Part-time job experience only,Since birth
Islands (inc. Tung Chung),N/A,90,0,8,0,2,0,Yes,No,Secondary education/ Matriculation,University education,"HK$40,000 - HK$49,999",4,More than 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115823,Part-time job experience only,Since birth
Kwun Tong,Chinese,90,0,0,0,10,0,Yes,Yes,Secondary education/ Matriculation,University education,"HK$50,000 - HK$59,999",4,Less than 60 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116360,No experience at all,Since birth
Tai Po,N/A,90,0,5,0,5,0,Yes,No,University education,Post-secondary education,"HK$30,000 - HK$39,999",4,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116387,Part-time job experience only,Since birth
Yau Tsim Mong,N/A,75,0,5,0,5,15,Yes,Yes,University education,Secondary education/ Matriculation,"HK$70,000 - HK$79,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115261,Part-time job experience only,Since birth
Kwai Tsing,Chinese,50,0,50,0,0,0,Yes,No,Post-secondary education,Post-secondary education,"HK$80,000 - HK$89,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115721,No experience at all,Since birth
Sha Tin,N/A,0,0,0,0,0,100,Yes,No,Secondary education/ Matriculation,University education,"HK$50,000 - HK$59,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),102953,Part-time job experience only,Since birth
Sai Kung (inc. Tseung Kwan O),N/A,50,10,20,0,20,0,Yes,Yes,University education,Post-secondary education,"HK$10,000 - HK$19,999",4,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),107697,Part-time job experience only,7 years or more
,,0,0,0,0,0,0,,,N/A,N/A,,,,1,N/A,N/A,,23/12/2020 12:00:00 AM,2018,,115747,N/A,
Kwun Tong,N/A,50,0,25,0,25,0,Yes,No,Secondary education/ Matriculation,Primary education,"HK$20,000 - HK$29,999",4,Less than 60 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115569,Part-time job experience only,7 years or more
Kwun Tong,N/A,100,0,0,0,0,0,Yes,No,Primary education,Primary education,"HK$10,000 - HK$19,999",3,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110589,Part-time job experience only,Since birth
"North (inc. Sheung Shui, Fanling, etc)",N/A,94,0,5,0,1,0,Yes,No,University education,Secondary education/ Matriculation,"HK$50,000 - HK$59,999",3,More than 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115714,Part-time job experience only,Since birth
Tsuen Wan,N/A,100,0,0,0,0,0,Yes,Yes,University education,Secondary education/ Matriculation,"HK$90,000 - HK$99,999",4,180 - 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115715,Part-time job experience only,Since birth
Sha Tin,N/A,50,0,45,0,5,0,Yes,Yes,University education,Secondary education/ Matriculation,"HK$70,000 - HK$79,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110637,Part-time job experience only,Since birth
Wong Tai Sin,Chinese,100,0,0,0,0,0,Yes,No,Primary education,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",3,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115384,No experience at all,Since birth
Yau Tsim Mong,Indian,50,0,0,0,0,50,Yes,Yes,University education,University education,Not applicable,4,120 - 179 minutes,1,HK,Hinduism,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115852,Part-time job experience only,Since birth
Southern,N/A,90,0,5,0,5,0,Yes,No,Post-secondary education,Secondary education/ Matriculation,"HK$70,000 - HK$79,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115750,Part-time job experience only,Since birth
Eastern,N/A,70,0,30,0,0,0,Yes,No,University education,Post-secondary education,"HK$90,000 - HK$99,999",4,Less than 60 minutes,1,HK,Buddhist,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115751,Part-time job experience only,Since birth
Central & Western,N/A,70,0,0,0,30,0,Yes,No,Secondary education/ Matriculation,Primary education,"HK$10,000 - HK$19,999",4,60 - 119 minutes,1,Chinese Mainland,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116413,No experience at all,3 to less than 7 years
Sai Kung (inc. Tseung Kwan O),Chinese,50,0,30,0,20,0,Yes,Yes,University education,No formal education,"HK$30,000 - HK$39,999",4,Less than 60 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115022,Part-time job experience only,Since birth
Eastern,N/A,58,0,0,0,2,40,Yes,No,University education,University education,"HK$70,000 - HK$79,999",6,120 - 179 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115783,Part-time job experience only,Since birth
Tsuen Wan,N/A,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Post-secondary education,Not applicable,3,180 - 240 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115686,No experience at all,7 years or more
Tuen Mun,Chinese,90,0,10,0,0,0,No,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",8,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116920,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),N/A,100,0,0,0,0,0,Yes,Yes,Post-secondary education,Post-secondary education,"HK$60,000 - HK$69,999",3,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),112967,No experience at all,7 years or more
Kwai Tsing,N/A,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society sale flats (other than Home Ownership Scheme flats),116564,Part-time job experience only,Since birth
Southern,N/A,20,0,25,5,30,20,Yes,Yes,Secondary education/ Matriculation,University education,"HK$70,000 - HK$79,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115300,Part-time job experience only,Since birth
Sai Kung (inc. Tseung Kwan O),N/A,35,20,10,5,25,5,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",4,Less than 60 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116204,Part-time job experience only,Since birth
Kwun Tong,Chinese,30,40,10,0,10,10,No,No,Secondary education/ Matriculation,Secondary education/ Matriculation,Not applicable,5,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115809,Part-time job experience only,Since birth
Sha Tin,Chinese,100,0,0,0,0,0,Yes,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$90,000 - HK$99,999",7,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Others (e.g. staff quarters),115838,No experience at all,Since birth
Sha Tin,N/A,100,0,0,0,0,0,No,No,University education,University education,Not applicable,6,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116994,Part-time job experience only,Since birth
Kwai Tsing,N/A,50,0,30,0,20,0,Yes,No,Primary education,Secondary education/ Matriculation,Not applicable,6,180 - 240 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115441,Part-time job experience only,Since birth
Eastern,N/A,80,0,0,0,20,0,Yes,Yes,University education,Secondary education/ Matriculation,Not applicable,3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115910,Part-time job experience only,Since birth
Sai Kung (inc. Tseung Kwan O),N/A,50,10,10,0,30,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,Not applicable,2,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116443,Part-time job experience only,Since birth
Sha Tin,N/A,80,0,10,0,10,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$60,000 - HK$69,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116445,Part-time job experience only,Since birth
Islands (inc. Tung Chung),N/A,50,10,20,0,20,0,No,No,No formal education,Primary education,"HK$10,000 - HK$19,999",7,Less than 60 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116608,Part-time job experience only,7 years or more
Kwun Tong,N/A,40,0,0,0,50,10,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$90,000 - HK$99,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110413,No experience at all,Since birth
Sha Tin,Chinese,100,0,0,0,0,0,Yes,Yes,Primary education,Primary education,Not applicable,4,60 - 119 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115310,No experience at all,7 years or more
Tuen Mun,Chinese,90,0,5,0,5,0,Yes,No,Secondary education/ Matriculation,Primary education,"HK$10,000 - HK$19,999",2,120 - 179 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116100,Part-time job experience only,3 to less than 7 years
Sha Tin,N/A,70,0,30,0,0,0,Yes,Yes,University education,University education,Not applicable,4,120 - 179 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115923,Part-time job experience only,7 years or more
Sham Shui Po,Chinese,40,30,10,0,10,10,Yes,No,Primary education,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,60 - 119 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Squatter/Temporary structure,115897,Part-time job experience only,7 years or more
Sham Shui Po,N/A,60,0,15,0,25,0,Yes,Yes,Secondary education/ Matriculation,Post-secondary education,Not applicable,3,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115937,Part-time job experience only,Since birth
Eastern,Chinese,100,0,0,0,0,0,Yes,Yes,University education,University education,"HK$70,000 - HK$79,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115939,Part-time job experience only,Since birth
Kwai Tsing,N/A,50,20,5,0,25,0,Yes,No,Secondary education/ Matriculation,Primary education,"HK$10,000 - HK$19,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116475,Part-time job experience only,Since birth
Sham Shui Po,Chinese,100,0,0,0,0,0,No,No,Primary education,Secondary education/ Matriculation,"HK$30,000 - HK$39,999",5,60 - 119 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116476,Part-time job experience only,7 years or more
Kwun Tong,Chinese,50,5,5,0,10,30,Yes,Yes,Post-secondary education,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,Less than 60 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115802,Part-time job experience only,7 years or more
Yuen Long (inc. Tin Shui Wai),N/A,40,40,20,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",3,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116367,Part-time job experience only,Since birth
Sham Shui Po,N/A,10,0,80,0,5,5,No,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115377,Part-time job experience only,Since birth
Sai Kung (inc. Tseung Kwan O),N/A,50,0,30,0,20,0,Yes,Yes,Secondary education/ Matriculation,Post-secondary education,"HK$30,000 - HK$39,999",3,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115379,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),N/A,68,27,5,0,0,0,Yes,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",4,More than 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110896,Part-time job experience only,Since birth
Sai Kung (inc. Tseung Kwan O),N/A,20,20,10,0,20,30,Yes,Yes,Post-secondary education,Post-secondary education,"HK$90,000 - HK$99,999",5,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115098,Part-time job experience only,Since birth
Eastern,N/A,90,0,10,0,0,0,Yes,Yes,University education,Post-secondary education,"HK$90,000 - HK$99,999",4,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115017,Part-time job experience only,Since birth
"North (inc. Sheung Shui, Fanling, etc)",N/A,50,15,20,0,5,10,No,No,Primary education,Post-secondary education,"HK$10,000 - HK$19,999",5,180 - 240 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Squatter/Temporary structure,115499,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),Chinese,30,0,30,0,40,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",3,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115830,Part-time job experience only,7 years or more
Yuen Long (inc. Tin Shui Wai),N/A,80,0,0,0,20,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",4,60 - 119 minutes,1,HK,Traditional Chinese Religion,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116425,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),N/A,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",3,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,110657,Part-time job experience only,Since birth
Yuen Long (inc. Tin Shui Wai),N/A,60,0,30,0,10,0,No,No,Primary education,University education,"HK$20,000 - HK$29,999",2,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116811,Part-time job experience only,Since birth
Tai Po,Chinese,50,10,10,5,15,10,No,No,Secondary education/ Matriculation,Secondary education/ Matriculation,Not applicable,5,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116814,Part-time job experience only,Since birth
Wong Tai Sin,N/A,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$80,000 - HK$89,999",4,Less than 60 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116827,No experience at all,less than 3 years
Sham Shui Po,N/A,100,0,0,0,0,0,No,Yes,Secondary education/ Matriculation,University education,"HK$20,000 - HK$29,999",4,120 - 179 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115388,Part-time job experience only,Since birth
Sai Kung (inc. Tseung Kwan O),N/A,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$100,000 or above",3,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115483,Part-time job experience only,Since birth
Kwun Tong,N/A,20,80,0,0,0,0,Yes,No,Post-secondary education,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",6,60 - 119 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,115645,Part-time job experience only,7 years or more
Sham Shui Po,N/A,20,20,20,0,20,20,No,No,Primary education,Secondary education/ Matriculation,Not applicable,4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115731,No experience at all,Since birth
Kowloon City,N/A,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Post-secondary education,"HK$80,000 - HK$89,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115734,Part-time job experience only,Since birth
Sha Tin,N/A,80,0,10,0,10,0,Yes,Yes,Post-secondary education,Post-secondary education,Not applicable,4,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115983,Part-time job experience only,Since birth
Kwun Tong,N/A,50,0,0,0,0,50,Yes,Yes,Post-secondary education,Post-secondary education,"HK$20,000 - HK$29,999",3,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115052,Part-time job experience only,Since birth
Tuen Mun,Chinese,100,0,0,0,0,0,No,No,Secondary education/ Matriculation,Post-secondary education,Not applicable,3,More than 240 minutes,1,Chinese Mainland,No religious belief,L,23/12/2020 12:00:00 AM,2018,Home Ownership Scheme flats,115054,No experience at all,7 years or more
Kwun Tong,N/A,0,0,0,100,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"Under HK$10,000",1,Less than 60 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115869,No experience at all,7 years or more
Eastern,N/A,50,10,10,0,30,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",4,120 - 179 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116290,Part-time job experience only,Since birth
Kowloon City,N/A,60,0,20,0,20,0,Yes,Yes,Primary education,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",3,180 - 240 minutes,1,HK,Buddhist,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116291,No experience at all,Since birth
Sham Shui Po,N/A,75,10,10,0,5,0,No,No,Secondary education/ Matriculation,Secondary education/ Matriculation,Not applicable,8,Less than 60 minutes,1,Australia,Buddhist,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),115639,Part-time job experience only,7 years or more
Tuen Mun,N/A,90,0,0,0,10,0,Yes,No,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$10,000 - HK$19,999",7,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),116210,No experience at all,Since birth
Sha Tin,N/A,100,0,0,0,0,0,Yes,Yes,Secondary education/ Matriculation,Secondary education/ Matriculation,"HK$20,000 - HK$29,999",2,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),32796,Part-time job experience only,Since birth
Kwai Tsing,N/A,50,0,30,0,10,10,Yes,No,Primary education,Post-secondary education,"HK$20,000 - HK$29,999",4,60 - 119 minutes,1,HK,No religious belief,L,23/12/2020 12:00:00 AM,2018,Housing Authority/Housing Society rental flats,116497,Part-time job experience only,Since birth
Sha Tin,N/A,30,50,10,0,10,0,Yes,Yes,Secondary education/ Matriculation,University education,"HK$50,000 - HK$59,999",6,120 - 179 minutes,1,HK,Catholic,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110580,Part-time job experience only,Since birth
Yau Tsim Mong,N/A,20,0,0,0,0,80,Yes,Yes,University education,University education,"HK$90,000 - HK$99,999",3,60 - 119 minutes,1,United States of America,No religious belief,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),110584,No experience at all,3 to less than 7 years
Southern,N/A,100,0,0,0,0,0,Yes,Yes,University education,University education,"HK$100,000 or above",5,60 - 119 minutes,1,HK,Protestant/Christian,L,23/12/2020 12:00:00 AM,2018,Private flats (whole or part of a flat),32827,No experience at all,Since birth
